study_duration_days,study_eq_bins,study_eq_labels,num_oms,number_of_intervention_types,num_locations,number_of_conditions,allocation,masking,enroll_count,biological_intervention,procedure_intervention,drug_intervention,radiation_intervention,treatment_purpose,prevention_purpose,us_led,us_included,nci_sponsor,spacy_aes_outcome,spacy_osr_outcome,spacy_mtd_outcome,spacy_dor_outcome,spacy_dlt_outcome,spacy_cmax_outcome,spacy_aes_lead_outcome,spacy_dlt_lead_outcome,spacy_mtd_lead_outcome,spacy_tmax_outcome
2953.0,High,1,3,3,1,1,missing,False,8.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
2997.0,High,1,8,5,144,1,missing,False,74.0,False,False,False,False,1,0,True,True,False,True,False,True,False,True,False,False,True,True,missing
731.0,Low,0,4,1,2,1,missing,False,15.0,False,False,False,False,1,0,False,False,False,False,True,False,False,False,True,False,False,False,True
458.0,Low,0,7,1,3,1,missing,False,7.0,False,False,False,False,1,0,False,False,False,True,False,True,False,True,False,True,False,False,missing
4925.0,High,1,0,2,1,3,missing,True,42.0,False,False,False,False,1,0,True,True,True,False,False,False,False,False,False,False,False,False,missing
4894.0,High,1,3,1,3,1,missing,False,23.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,True,True,True,missing
2404.0,High,1,2,1,1,1,False,False,72.0,False,False,False,False,1,0,True,True,False,True,False,False,False,False,False,False,False,False,missing
3865.0,High,1,3,1,1,1,missing,False,8.0,False,False,False,False,1,0,True,True,False,False,False,True,False,True,False,False,True,False,missing
242.0,Low,0,2,1,1,1,missing,False,4.0,False,False,False,False,0,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
1581.0,Low,0,1,2,1,1,missing,False,31.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
1491.0,Low,0,3,5,1,1,missing,False,14.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
2952.0,High,1,0,11,1,1,missing,True,24.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
8252.0,High,1,3,3,1,1,missing,False,14.0,False,False,False,False,1,0,True,True,False,False,True,False,False,False,False,False,False,False,missing
2230.0,High,1,9,2,2,3,missing,False,24.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
2983.0,High,1,2,9,1,1,missing,False,40.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
2563.0,High,1,78,5,62,1,True,False,331.0,False,False,False,False,1,0,False,True,False,True,True,True,False,True,True,True,True,True,True
1642.0,Low,0,0,2,1,1,missing,True,58.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
1308.0,Low,0,5,1,1,1,missing,False,8.0,False,False,False,False,1,0,False,False,False,True,False,True,False,True,True,True,True,False,True
2404.0,High,1,12,3,16,1,missing,False,49.0,False,False,False,False,1,0,False,False,False,True,True,True,False,True,False,False,True,True,missing
1290.0,Low,0,13,2,7,1,missing,False,34.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
1064.0,Low,0,6,1,0,1,False,False,10.0,False,False,False,False,1,0,False,False,False,False,False,True,False,True,False,False,True,False,missing
1461.0,Low,0,2,2,2,1,missing,False,20.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
1279.0,Low,0,4,1,11,1,missing,False,81.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,True,False,False,False,True
2983.0,High,1,2,1,1,1,missing,False,89.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
2191.0,High,1,9,8,1,1,False,False,35.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
6855.0,High,1,2,2,1,1,missing,False,34.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
