protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,survival_5yr_relative,phase_PHASE1_PHASE2,phase_PHASE2_PHASE3,phase_PHASE2
NCT01576380,457,457.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,6,1,1,8,1,8.0,4.0,1,1.0,0.0,1.0,0.0,1.0,0.0,11.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,56.0,119.0,0.175,False,False,True
NCT01837862,3814,3814.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,12,2,0,1,0,27.0,15.0,6,0.0,1.0,2.0,1.0,0.0,0.0,36.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,84.0,1095.0,0.65,True,False,False
NCT01770301,1764,2981.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,2,1,24,1,37.0,35.0,2,0.0,1.0,1.0,1.0,1.0,0.0,60.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,180.0,,0.68,False,False,True
NCT04261387,502,531.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,2,1,2,0,13.0,24.0,2,1.0,1.0,1.0,1.0,1.0,4.0,28.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,84.0,84.0,0.68,True,False,False
NCT01661972,1411,1411.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,1,2,1,2,0,22.0,14.0,1,0.0,2.0,2.0,1.0,0.0,0.0,63.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,365.0,365.0,0.175,True,False,False
NCT03253679,1384,1384.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,2,1,1,9,0,34.0,37.0,1,0.0,0.0,1.0,1.0,1.0,0.0,31.0,False,1,0,0,0,0,0,0,0,0,0,0,1,0,730.0,730.0,0.68,False,False,True
NCT02418689,792,2192.0,"(-0.001, 1127.0]","(1413.0, 4722.0]",1,0,1,1,1,7,1,9.0,22.0,1,1.0,0.0,1.0,1.0,1.0,0.0,106.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,360.0,360.0,0.99,False,False,True
NCT02086552,1459,2765.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,2,1,1,1,0,30.0,52.0,3,0.0,0.0,1.0,1.0,1.0,0.0,28.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,730.0,1095.0,0.598,False,False,True
NCT01556841,1995,1995.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,3,2,1,12,1,30.0,20.0,2,0.0,1.0,1.0,1.0,1.0,4.0,94.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,175.0,1460.0,0.68,False,False,True
NCT01533246,274,274.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,4,1,1,2,0,64.0,9.0,2,0.0,0.0,1.0,1.0,1.0,0.0,17.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,84.0,730.0,0.175,False,False,True
NCT02655913,609,974.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,5,2,1,1,1,9.0,22.0,3,0.0,1.0,1.0,1.0,1.0,1.0,97.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,56.0,360.0,0.99,True,False,False
NCT02671708,1154,1519.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,3,2,2,1,1,8.0,2.0,3,0.0,1.0,0.0,1.0,1.0,0.0,153.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,730.0,730.0,0.65,False,True,False
NCT01939665,1126,1126.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,3,1,1,1,1,19.0,29.0,1,0.0,0.0,0.0,1.0,1.0,0.0,50.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,360.0,360.0,0.99,True,False,False
NCT02528682,1916,1916.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,1,1,1,14.0,13.0,1,0.0,0.0,1.0,0.0,1.0,0.0,10.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,84.0,84.0,0.68,True,False,False
