protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,max_treatment_duration,min_treatment_duration,survival_5yr_relative,phase_PHASE2_PHASE3,phase_PHASE3
NCT01715285,1357.0,3288.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,0,1,8.0,6.0,5,1,1.0,1,1.0,1.0,3.0,1209.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1980.0,1980.0,4320,14,0.68,False,True
NCT04563936,428.0,428.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,2,1,1,1,11.0,27.0,2,1,1.0,1,0.0,1.0,0.0,290.0,False,1,0,0,0,0,0,0,1,0,0,0,0,1,85.0,85.0,1080,360,0.175,False,True
NCT02124733,914.0,1705.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,3,1,1,0,3.0,4.0,1,0,1.0,0,0.0,1.0,1.0,23.0,False,1,0,0,0,1,0,0,0,0,0,0,0,0,90.0,,49,14,0.99,False,True
NCT06140108,106.0,106.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,3,2,0,1,1,10.0,10.0,2,0,1.0,0,1.0,1.0,0.0,70.0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,90.0,90.0,4320,14,0.68,True,False
NCT01721746,1152.0,2930.0,"(758.0, 1321.333]","(1783.0, 4722.0]",2,1,1,2,1,95,2,11.0,18.0,4,1,1.0,1,1.0,1.0,0.0,405.0,False,1,0,0,0,0,0,0,1,0,1,1,0,0,2880.0,2880.0,730,150,0.94,False,True
NCT01479686,2557.0,3469.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,1,1,21.0,11.0,2,0,1.0,0,1.0,1.0,3.0,321.0,False,1,0,0,0,1,0,0,0,0,0,1,0,1,1095.0,3650.0,4320,14,0.68,False,True
NCT01539083,1447.0,2188.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,3,1,0,1,8.0,7.0,5,1,1.0,1,1.0,1.0,0.0,256.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,360.0,1825.0,180,90,0.598,False,True
NCT02511639,2039.0,2193.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,16,1,13.0,23.0,2,0,1.0,0,0.0,1.0,0.0,110.0,False,1,0,0,0,0,0,0,1,0,0,1,0,1,730.0,730.0,1825,365,0.99,False,True
NCT02341417,644.0,644.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,1,0,33,2,10.0,14.0,1,1,0.0,1,0.0,1.0,0.0,28.0,False,1,0,0,0,0,0,0,1,0,0,0,0,1,224.0,196.0,1080,360,0.175,False,True
NCT02383966,903.0,2334.0,"(758.0, 1321.333]","(1783.0, 4722.0]",2,1,1,2,1,1,1,9.0,9.0,3,1,1.0,1,1.0,1.0,0.0,243.0,False,1,0,0,0,0,0,0,1,0,0,1,1,1,904.0,904.0,49,14,0.99,False,True
