protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,phase,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,max_treatment_duration,min_treatment_duration,survival_5yr_relative,conditions_category_num
NCT01859026,2061,2061.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,2,3,1,1,0,13.0,23.0,2,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,43,False,1,0,0,0,0,0,0,0,0,0,1,0,0,180.0,1095.0,49,14,0.99,1
NCT01752426,2061,2061.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,1,1,1,0,17.0,32.0,2,0,0.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,30,False,1,0,0,0,0,0,0,0,0,0,0,0,0,365.0,365.0,1095,730,0.65,4
NCT02194426,1330,1330.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,1,1,4,1,20.0,17.0,1,1,0.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,58,False,1,0,0,0,0,0,0,0,0,0,0,0,1,392.0,392.0,4320,14,0.68,11
NCT01040026,1431,2953.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,1,2,1,1,3.0,1.0,1,0,0.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,10,False,1,0,0,0,0,0,0,0,0,0,0,0,0,365.0,365.0,180,90,0.598,0
NCT02862457,1550,1550.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,2,7,1,0,1,15.0,45.0,8,1,1.0,1.0,0.0,['PHASE1'],0.0,0.0,34,False,1,0,0,0,0,0,0,0,0,0,0,0,1,1191.0,8.0,49,14,0.99,1
NCT02353026,334,334.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,1,0,7.0,10.0,1,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,19,False,1,0,0,0,0,0,0,0,0,0,0,0,0,365.0,,4320,14,0.68,11
NCT02904226,1430,1430.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,1,8,1,16,0,13.0,32.0,4,1,1.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,242,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1395.0,,4320,14,0.68,11
NCT04522557,342,342.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,1,1,12.0,28.0,1,0,2.0,0.0,1.0,['PHASE1'],0.0,0.0,21,False,1,0,0,0,0,0,0,0,0,0,0,0,1,7.0,7.0,1825,365,0.99,5
NCT03292757,243,274.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,3,2,1,1,1,3.0,4.0,1,0,1.0,0.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,21,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,4320,14,0.68,11
NCT04176757,480,508.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,10,2,12.0,7.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,35,False,1,0,0,0,0,0,0,0,0,0,0,0,0,450.0,450.0,1825,365,0.99,5
NCT01740557,3005,3005.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,3,1,1,1,0,28.0,3.0,7,0,0.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,10,False,1,0,0,0,0,0,0,0,0,0,0,0,1,365.0,56.0,730,150,0.94,8
NCT01721148,1522,1522.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,1,1,1,0,1,18.0,25.0,1,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,39,False,0,0,0,0,0,0,0,0,0,0,0,0,1,360.0,360.0,4320,14,0.68,11
NCT01740648,3229,3229.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,7,1,1,4,0,25.0,32.0,3,0,0.0,0.0,1.0,['PHASE1'],0.0,0.0,19,False,1,0,0,0,0,0,0,0,0,0,1,0,1,63.0,1825.0,4320,14,0.68,11
NCT02528357,1692,1692.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,3,1,8,2,33.0,37.0,2,1,2.0,1.0,0.0,['PHASE1'],0.0,0.0,141,False,1,0,0,0,0,0,0,0,0,0,0,0,1,735.0,735.0,4320,14,0.68,11
NCT04014257,532,539.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,2,1,1,4,1,8.0,6.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,17,False,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,730.0,4320,14,0.68,11
NCT04205357,957,957.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,3,1,1,1,1,12.0,20.0,1,0,2.0,1.0,1.0,['PHASE1'],0.0,0.0,24,False,1,0,0,0,0,0,0,0,0,0,1,0,1,30.0,730.0,4320,1080,0.326,9
NCT01266057,3577,3577.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,2,1,1,0,9.0,18.0,3,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,143,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,42.0,4320,14,0.68,11
NCT02156557,761,792.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,3,1,1,1,0,6.0,11.0,1,0,0.0,2.0,1.0,['PHASE1'],0.0,0.0,45,False,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1080,360,0.175,2
NCT02035657,1520,1520.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,1,1,1,1,0,15.0,8.0,1,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,10,False,1,0,0,0,0,0,0,0,0,0,0,0,1,365.0,365.0,1440,360,0.99,3
NCT01280526,670,1155.0,"(-0.001, 761.0]","(929.333, 1594.0]",1,0,1,4,1,8,1,15.0,30.0,4,0,0.0,1.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,37,False,1,0,0,0,0,0,0,0,0,0,1,1,0,42.0,90.0,730,180,0.83,7
NCT04958226,479,488.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,5,0,5.0,8.0,2,1,2.0,1.0,0.0,['PHASE1'],0.0,0.0,21,False,1,0,0,0,0,0,0,0,0,0,0,0,1,29.0,450.0,4320,14,0.68,11
NCT01986426,1612,1764.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,6,4,1,14,1,29.0,30.0,4,1,1.0,1.0,0.0,['PHASE1'],0.0,0.0,80,False,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0,720.0,49,14,0.99,1
NCT02716948,1891,1891.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,3,1,1,1,0,14.0,22.0,3,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,17,False,1,0,0,0,0,0,0,0,0,0,0,0,1,84.0,1095.0,730,150,0.94,8
NCT02489448,2053,2101.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,1,1,1,0,16.0,5.0,1,0,0.0,1.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,68,False,1,0,0,0,0,0,0,0,0,0,0,0,0,182.0,,1825,365,0.99,5
NCT04131426,264,707.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,4,3,1,1,0,9.0,13.0,2,0,1.0,0.0,1.0,['PHASE1'],1.0,0.0,25,False,0,0,0,1,0,0,0,0,0,0,0,0,1,90.0,90.0,49,14,0.99,1
NCT01605526,396,396.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,0,2,10.0,12.0,2,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,23,False,1,0,0,0,0,0,0,0,0,0,0,0,1,360.0,3.0,1825,240,0.65,6
NCT02163057,894,894.0,"(761.0, 1359.667]","(-0.001, 929.333]",0,1,1,2,1,1,0,11.0,5.0,2,1,1.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,22,False,1,0,0,0,0,0,0,0,0,0,0,0,1,180.0,180.0,49,14,0.99,1
NCT01998126,1254,1578.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,4,1,1,0,15.0,23.0,4,0,1.0,1.0,1.0,['PHASE1'],0.0,0.0,14,False,1,0,0,0,0,0,0,0,0,0,1,0,0,1080.0,1080.0,49,14,0.99,1
NCT03875157,1399,1399.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,1,11,1,1,1,11.0,34.0,11,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,103,False,1,0,0,0,0,0,0,0,0,0,0,0,1,720.0,90.0,4320,14,0.68,11
NCT01814826,1119,1824.0,"(761.0, 1359.667]","(1594.0, 4453.0]",2,1,1,1,1,8,0,24.0,33.0,2,1,2.0,1.0,0.0,['PHASE1'],0.0,0.0,64,False,0,0,0,0,0,0,0,0,0,0,1,1,1,1825.0,1825.0,1095,730,0.65,4
NCT02621957,62,62.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,0,0,9.0,11.0,2,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,15,True,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,28.0,1825,365,0.99,5
NCT03441048,2192,2192.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,6,1,1,0,14.0,9.0,10,0,2.0,0.0,1.0,['PHASE1'],0.0,0.0,26,False,1,0,0,0,0,0,0,0,0,0,1,0,1,730.0,365.0,1095,730,0.65,4
NCT02960230,2599,2599.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,3,3,0,15,2,33.0,20.0,2,0,1.0,2.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,50,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1080.0,,4320,14,0.68,11
NCT02479230,1566,2541.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,2,1,1,2,0,24.0,11.0,2,0,0.0,2.0,1.0,['PHASE1'],0.0,0.0,18,False,1,0,0,0,0,0,0,0,0,0,0,0,1,30.0,168.0,1825,365,0.99,5
NCT02149225,1339,1339.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,1,1,6,1,25.0,1.0,2,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,16,False,1,0,0,0,0,0,0,0,0,0,1,0,1,280.0,300.0,4320,1080,0.326,9
NCT01224730,650,650.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,0,0,2.0,2.0,1,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,24,False,1,0,0,0,0,0,0,0,0,0,0,0,1,24.0,180.0,4320,14,0.68,11
NCT03489525,1413,1413.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,1,2,1,11,2,12.0,5.0,2,1,2.0,1.0,0.0,['PHASE1'],0.0,0.0,107,False,1,0,0,0,0,0,0,0,0,0,1,1,1,90.0,1095.0,180,90,0.598,0
NCT02142530,882,1188.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,5,1,1,3,0,23.0,21.0,2,0,0.0,0.0,1.0,['PHASE1'],0.0,0.0,19,False,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,56.0,730,180,0.83,7
NCT03012230,1857,1918.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,3,1,1,1,0,25.0,40.0,3,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,12,False,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,730.0,1825,365,0.99,5
NCT01469130,882,2284.0,"(761.0, 1359.667]","(1594.0, 4453.0]",2,1,1,1,1,2,1,8.0,5.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,21,False,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,120.0,4320,14,0.68,11
NCT03312530,1282,1282.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,5,1,26,1,7.0,45.0,3,1,1.0,1.0,0.0,"['PHASE1', 'PHASE2']",1.0,0.0,49,False,1,0,0,0,0,0,0,0,0,0,1,1,1,1095.0,1095.0,180,90,0.598,0
NCT01981525,885,2510.0,"(761.0, 1359.667]","(1594.0, 4453.0]",2,1,1,1,1,1,0,21.0,10.0,1,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,26,False,1,0,0,0,0,0,0,0,0,0,0,0,1,730.0,730.0,4320,14,0.68,11
NCT01301430,1338,1338.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,1,1,1,1,19.0,8.0,1,1,0.0,1.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,18,False,1,0,0,0,0,0,0,0,0,0,1,0,1,28.0,180.0,4320,1080,0.326,9
NCT03525925,582,1474.0,"(-0.001, 761.0]","(929.333, 1594.0]",1,0,1,1,2,1,0,19.0,24.0,3,0,0.0,0.0,1.0,['PHASE1'],0.0,0.0,16,False,1,0,0,0,0,0,0,0,0,0,0,0,1,730.0,730.0,4320,14,0.68,11
NCT04299048,498,498.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,4,1,1,10,0,24.0,12.0,1,1,2.0,1.0,0.0,['PHASE1'],0.0,0.0,11,False,1,0,0,0,0,0,0,0,0,0,0,0,1,168.0,105.0,49,14,0.99,1
NCT03502330,1306,2167.0,"(761.0, 1359.667]","(1594.0, 4453.0]",2,1,3,9,1,1,0,24.0,34.0,3,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,42,False,1,0,0,0,0,0,0,0,0,0,0,0,1,360.0,180.0,49,14,0.99,1
NCT03410030,1369,1487.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,5,1,1,1,0,8.0,18.0,4,0,0.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,27,False,1,0,0,0,0,0,0,0,0,0,1,0,0,63.0,84.0,1080,360,0.175,2
NCT02111330,61,61.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,6,1,2,1,9.0,22.0,2,0,1.0,1.0,0.0,['PHASE1'],1.0,3.0,16,True,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,4320,14,0.68,11
NCT02145130,2496,2496.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,6,2,2,2,1,4.0,14.0,2,0,1.0,1.0,1.0,['PHASE1'],0.0,0.0,12,False,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0,90.0,4320,14,0.68,11
NCT02615730,1885,1885.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,1,1,1,1,8.0,6.0,2,0,0.0,0.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,42,False,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0,28.0,1080,360,0.175,2
NCT01265030,2881,2881.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,1,0,8,0,36.0,6.0,1,0,0.0,0.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,9,False,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,1095.0,4320,14,0.68,11
NCT03486730,2126,2126.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,4,2,2,6,1,34.0,35.0,1,0,2.0,1.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,72,False,1,0,0,0,0,0,0,0,0,0,1,1,1,28.0,180.0,49,14,0.99,1
NCT04122625,1076,1076.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,6,1,17,2,11.0,4.0,2,1,2.0,1.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,46,False,1,0,0,0,0,0,0,0,0,0,1,1,1,748.2499999999999,759.2,4320,14,0.68,11
NCT02881125,424,1122.0,"(-0.001, 761.0]","(929.333, 1594.0]",1,0,1,1,1,1,0,18.0,11.0,2,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,2,False,1,0,0,0,0,0,0,0,0,0,1,0,1,28.0,730.0,49,14,0.99,1
NCT03846648,284,284.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,2,1,1,1,16.0,23.0,1,0,1.0,0.0,0.0,['PHASE1'],1.0,2.0,56,False,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0,42.0,4320,14,0.68,11
NCT01401530,1492,1645.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,1,1,0,1,8.0,10.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,13,False,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0,1460.0,730,180,0.83,7
NCT01801930,671,671.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,4,1,0,1,7.0,3.0,4,1,1.0,1.0,0.0,['PHASE1'],1.0,0.0,24,False,1,0,0,0,0,0,0,0,0,0,0,0,1,29.0,29.0,1080,360,0.175,2
NCT02451930,510,1474.0,"(-0.001, 761.0]","(929.333, 1594.0]",1,0,1,1,1,16,2,13.0,22.0,2,1,2.0,1.0,0.0,['PHASE1'],0.0,0.0,71,False,1,0,0,0,0,0,0,0,0,0,1,1,1,480.0,1200.0,49,14,0.99,1
NCT02063230,245,245.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,4,1,1,0,5.0,6.0,2,1,1.0,1.0,0.0,['PHASE1'],0.0,0.0,32,True,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,,4320,14,0.68,11
NCT02609230,1578,1603.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,2,2,1,1,0,21.0,16.0,1,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,33,False,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0,7.0,180,90,0.598,0
NCT02805725,1583,2192.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,5,1,1,1,26.0,17.0,4,0,0.0,1.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,50,False,1,0,0,0,0,0,0,0,0,0,1,0,1,180.0,360.0,1825,240,0.65,6
NCT05086848,762,762.0,"(761.0, 1359.667]","(-0.001, 929.333]",0,1,1,1,1,1,1,6.0,9.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,15,False,1,0,0,0,0,0,0,0,0,0,0,0,1,360.0,360.0,4320,14,0.68,11
NCT02563548,1251,1251.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,2,2,1,28,0,17.0,28.0,2,1,1.0,1.0,1.0,['PHASE1'],0.0,0.0,56,False,1,0,0,0,0,0,0,0,0,0,1,1,1,420.0,420.0,49,14,0.99,1
NCT02092948,1233,1233.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,3,1,1,1,0,16.0,11.0,1,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,8,False,0,1,0,0,0,0,0,0,0,0,0,0,1,90.0,1.0,1080,360,0.175,2
NCT01220648,640,640.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,1,1,7.0,7.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,4,False,1,0,0,0,0,0,0,0,0,0,1,0,1,360.0,360.0,1095,730,0.65,4
NCT01944930,608,608.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,2,1,1,0,2.0,1.0,2,0,2.0,0.0,0.0,['PHASE1'],1.0,0.0,23,False,0,1,0,0,0,0,0,0,0,0,0,0,0,,,4320,14,0.68,11
NCT01722825,577,577.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,2,1,1,1,1,11.0,19.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,12,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,112.0,4320,14,0.68,11
NCT01594125,914,975.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,2,1,5,1,10.0,9.0,5,1,1.0,1.0,0.0,['PHASE1'],0.0,0.0,30,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,840.0,1080,360,0.175,2
NCT04362748,1101,1101.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,3,1,11,2,8.0,26.0,1,1,2.0,1.0,0.0,['PHASE1'],0.0,0.0,34,False,1,0,0,0,0,0,0,0,0,0,1,1,1,912.5,912.5,4320,14,0.68,11
NCT03502148,495,687.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,5,0,12.0,8.0,1,1,0.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,10,False,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0,180.0,49,14,0.99,1
NCT02117648,306,487.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,2,3,1,2,0,2.0,1.0,2,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4320,14,0.68,11
NCT03779230,1488,1488.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,1,1,1,3,1,30.0,41.0,1,1,0.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,20,False,1,0,0,0,0,0,0,0,0,0,1,0,1,1080.0,1080.0,4320,14,0.68,11
NCT01748825,2708,2708.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,10,1,1,0,33.0,7.0,1,0,2.0,0.0,0.0,['PHASE1'],0.0,0.0,67,False,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,21.0,4320,14,0.68,11
NCT01287130,963,963.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,5,2,1,1,0,23.0,14.0,2,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,10,False,1,0,0,0,0,0,0,0,0,0,0,0,0,730.0,730.0,4320,14,0.68,11
NCT01293630,1004,1004.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,1,1,2,1,4.0,20.0,3,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,18,False,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0,30.0,4320,14,0.68,11
NCT01397825,1276,1884.0,"(761.0, 1359.667]","(1594.0, 4453.0]",2,1,4,5,1,0,2,11.0,27.0,3,1,1.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,45,False,1,0,0,0,0,0,0,0,0,0,0,1,1,1898.0,1898.0,730,180,0.83,7
NCT02204930,427,427.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,4,1,14.0,16.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,20,False,0,0,0,1,0,0,0,0,0,0,0,0,1,30.0,,4320,14,0.68,11
NCT01645930,574,1576.0,"(-0.001, 761.0]","(929.333, 1594.0]",1,0,1,1,1,0,1,10.0,13.0,3,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,43,False,1,0,0,0,0,0,0,0,0,0,0,1,1,577.0,600.0,180,90,0.598,0
NCT01357330,397,397.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,3,0,4.0,7.0,2,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,18,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1460.0,1460.0,4320,14,0.68,11
NCT02206425,1236,1282.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,10,1,12,0,32.0,15.0,8,1,1.0,1.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,45,False,1,0,0,0,0,0,0,0,0,0,1,1,1,1440.0,1440.0,180,90,0.598,0
NCT02657330,639,639.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,2,1,1,4,2,11.0,22.0,1,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,29,False,1,0,0,0,0,0,0,0,0,0,0,0,1,540.0,900.0,1080,360,0.175,2
NCT01324830,783,909.0,"(761.0, 1359.667]","(-0.001, 929.333]",0,1,1,2,1,2,1,18.0,22.0,2,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,69,False,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0,,4320,14,0.68,11
NCT01302925,28,28.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,2,2,1,1,0,4.0,7.0,2,1,1.0,1.0,0.0,['PHASE1'],1.0,0.0,100,True,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,,49,14,0.99,1
NCT02718430,759,759.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,1,1,41.0,42.0,1,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,6,False,1,0,0,0,0,0,0,0,0,0,0,0,0,540.0,540.0,1080,360,0.175,2
NCT02037230,1673,1673.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,1,1,1,0,7.0,5.0,3,0,0.0,1.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,34,False,1,0,0,0,0,0,0,0,0,0,1,0,0,105.0,1440.0,1080,360,0.175,2
NCT02996825,2515,2515.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,6,1,2,2,0,27.0,28.0,5,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,44,False,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0,730.0,1825,365,0.99,5
NCT03008330,365,912.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,2,1,1,1,5.0,3.0,1,0,1.0,1.0,0.0,"['PHASE1', 'PHASE2']",1.0,0.0,20,False,1,0,0,0,0,0,0,0,0,0,1,0,0,90.0,1095.0,4320,14,0.68,11
NCT03681548,163,190.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,2,1,15,1,15.0,32.0,1,1,2.0,1.0,0.0,['PHASE1'],1.0,0.0,52,False,1,0,0,0,0,0,0,0,0,0,0,0,1,15.0,42.0,4320,14,0.68,11
NCT03198130,724,963.0,"(-0.001, 761.0]","(929.333, 1594.0]",1,0,4,1,1,6,1,10.0,13.0,1,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,33,False,1,0,0,0,0,0,0,0,0,0,0,0,1,168.0,378.0,49,14,0.99,1
NCT02493530,2820,3227.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,2,1,1,5,0,31.0,23.0,2,0,0.0,0.0,1.0,['PHASE1'],0.0,0.0,60,False,1,0,0,0,0,0,0,0,0,0,0,0,1,360.0,360.0,4320,14,0.68,11
NCT03498430,466,767.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,1,1,14.0,16.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,13,False,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,210.0,730,180,0.83,7
NCT02529930,1279,1279.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,2,1,4,1,3.0,28.0,1,1,1.0,1.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,34,False,1,0,0,0,0,0,0,0,0,0,0,0,1,180.0,180.0,1080,360,0.175,2
NCT04353830,719,719.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,3,1,1,1,24.0,8.0,3,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,34,False,1,0,0,0,0,0,0,0,0,0,0,0,1,730.0,730.0,4320,14,0.68,11
NCT02326025,118,1380.0,"(-0.001, 761.0]","(929.333, 1594.0]",1,0,1,2,1,6,0,7.0,11.0,2,1,2.0,1.0,0.0,['PHASE1'],0.0,0.0,49,False,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,720.0,1825,240,0.65,6
