protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,phase,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,max_treatment_duration,min_treatment_duration,survival_5yr_relative,conditions_category_num
NCT01901432,1364,1455.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,1,1,1,25,1,16.0,24.0,1,1,0.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,48,False,1,0,0,0,0,0,0,0,0,0,0,0,1,168.0,168.0,4320,14,0.68,11
NCT01632332,623,2191.0,"(-0.001, 761.0]","(1594.0, 4453.0]",2,0,6,1,1,1,0,24.0,15.0,2,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,22,False,1,0,0,0,0,0,0,0,0,0,1,0,1,900.0,900.0,1825,365,0.99,5
NCT01596400,1187,1675.0,"(761.0, 1359.667]","(1594.0, 4453.0]",2,1,1,2,0,12,0,10.0,15.0,2,1,2.0,1.0,0.0,['PHASE1'],0.0,0.0,19,False,1,0,0,0,0,0,0,0,0,0,0,0,1,7.0,7.0,4320,14,0.68,11
NCT02626000,575,1605.0,"(-0.001, 761.0]","(1594.0, 4453.0]",2,0,1,1,1,33,2,12.0,34.0,2,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,36,False,1,0,0,0,0,0,0,0,0,0,1,1,1,42.0,30.0,49,14,0.99,1
NCT03946800,1569,1569.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,2,2,1,10,2,14.0,12.0,2,1,1.0,1.0,0.0,['PHASE1'],0.0,0.0,61,False,1,0,0,0,0,0,0,0,0,0,1,1,1,1277.5,1277.5,4320,14,0.68,11
NCT02646852,2528,2678.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,3,2,1,1,0,19.0,23.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,40,False,1,0,0,0,0,0,0,0,0,0,0,0,0,30.0,,4320,14,0.68,11
NCT03688152,638,638.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,2,1,1,3,0,12.0,25.0,2,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,9,False,1,0,0,0,0,0,0,0,0,0,0,1,1,180.0,180.0,730,180,0.83,7
NCT02483052,184,184.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,2,1,1,1,1,8.0,10.0,1,1,0.0,1.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,6,False,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0,90.0,49,14,0.99,1
NCT04322552,387,417.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,1,1,14.0,15.0,2,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,18,False,1,0,0,0,0,0,0,0,0,0,0,0,1,16.0,16.0,4320,14,0.68,11
NCT01631552,2265,2796.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,16,4,1,12,0,36.0,25.0,1,1,2.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,515,False,1,0,0,0,0,0,0,0,0,0,1,1,1,2220.0,2220.0,49,14,0.99,1
