protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,survival_5yr_relative,phase_PHASE1_PHASE2,phase_PHASE1
NCT01512758,610.0,610.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,2,1,1,1,8.0,16.0,1,1,1.0,1.0,0.0,0.0,0.0,36.0,False,1,0,0,0,0,0,0,0,0,0,0,1,1,363.0,720.0,0.83,False,True
NCT02812875,1467.0,1467.0,"(1310.0, 8888.0]","(29.999, 1553.0]",0,1,1,1,1,20,2,12.0,20.0,1,1,0.0,1.0,1.0,0.0,0.0,71.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,720.0,1080.0,0.83,False,True
NCT01237236,2270.0,2270.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,2,1,1,7,2,14.0,21.0,1,1,0.0,1.0,0.0,0.0,0.0,156.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,360.0,540.0,0.83,False,True
NCT00453427,2465.0,3164.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,0,1,5,1,12.0,22.0,1,0,0.0,1.0,1.0,0.0,0.0,20.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,180.0,0.83,True,False
NCT02392611,940.0,940.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,9,1,0,0,13.0,11.0,3,1,1.0,1.0,0.0,0.0,0.0,33.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,28.0,0.83,False,True
NCT02902237,979.0,979.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,1,1,1,1,24.0,9.0,1,0,0.0,1.0,1.0,0.0,0.0,24.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,90.0,180.0,0.83,False,True
NCT01359982,1249.0,1249.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,1,1,2,0,11.0,26.0,6,1,0.0,1.0,0.0,0.0,0.0,26.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,92.0,,0.83,False,True
NCT00127140,2496.0,2496.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,0,1,1.0,6.0,1,1,0.0,1.0,0.0,0.0,0.0,10.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0,1.0,0.83,False,True
NCT01958996,2921.0,2921.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,1,1,8.0,2.0,1,0,0.0,1.0,0.0,0.0,0.0,27.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,270.0,270.0,0.83,True,False
NCT02271945,540.0,540.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,2,1,6,0,25.0,21.0,3,1,1.0,1.0,0.0,1.0,0.0,10.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,730.0,730.0,0.83,True,False
NCT00294632,3652.0,3652.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,1,0,21.0,14.0,2,0,0.0,1.0,0.0,0.0,0.0,54.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,56.0,0.83,True,False
NCT01926665,1188.0,1188.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,1,1,1,0,13.0,19.0,2,0,0.0,1.0,0.0,0.0,0.0,2.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,56.0,730.0,0.83,False,True
NCT03039114,1504.0,1504.0,"(1310.0, 8888.0]","(29.999, 1553.0]",0,1,1,1,1,21,2,9.0,20.0,3,1,0.0,1.0,0.0,0.0,0.0,26.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,1020.0,1020.0,0.83,False,True
NCT01804335,758.0,758.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,1,1,1,0,13.0,12.0,1,0,0.0,1.0,0.0,0.0,0.0,11.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,84.0,,0.83,False,True
NCT00445341,1981.0,2152.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,1,0,8.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,28.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1410.0,,0.83,True,False
NCT00439361,1947.0,1947.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,2,1,2,1,0,15.0,23.0,5,0,0.0,1.0,0.0,0.0,0.0,14.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.83,False,True
NCT02891590,883.0,883.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,1,1,1,1,24.0,24.0,1,1,0.0,1.0,0.0,0.0,0.0,13.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,30.0,1.0,0.83,False,True
NCT02529852,2553.0,2553.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,1,0,14.0,25.0,6,0,0.0,1.0,0.0,0.0,0.0,59.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,42.0,1642.5,0.83,True,False
NCT02760485,1985.0,1985.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,21,0,14.0,9.0,2,1,0.0,1.0,0.0,0.0,0.0,33.0,False,1,0,0,0,0,0,0,0,0,0,0,1,1,1538.0,1573.0,0.83,True,False
NCT02220842,1860.0,1860.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,5,1,15,2,14.0,33.0,3,1,1.0,1.0,0.0,0.0,0.0,96.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,21.0,1642.5,0.83,False,True
NCT01334502,1067.0,1979.0,"(29.999, 1310.0]","(1553.0, 8888.0]",1,0,1,1,1,1,0,62.0,10.0,6,0,0.0,1.0,0.0,0.0,0.0,26.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,912.5,1825.0,0.83,False,True
NCT02729896,663.0,1062.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,3,1,19,2,17.0,34.0,4,1,1.0,1.0,0.0,0.0,0.0,36.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,180.0,1050.0,0.83,True,False
NCT00561756,2953.0,2953.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,1,0,25.0,17.0,3,0,0.0,1.0,0.0,0.0,0.0,8.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,730.0,730.0,0.83,False,True
NCT01354392,731.0,731.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,1,1,2,1,15.0,19.0,1,0,0.0,0.0,1.0,0.0,0.0,15.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,14.0,365.0,0.83,True,False
NCT02598570,396.0,458.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,1,1,3,1,4.0,10.0,1,1,0.0,1.0,0.0,0.0,0.0,7.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,730.0,730.0,0.83,False,True
NCT00001512,4925.0,4925.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,3,0,1,1,0,2.0,2.0,2,0,0.0,1.0,0.0,0.0,0.0,42.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.83,False,True
NCT00438802,1637.0,4894.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,3,0,41.0,10.0,1,0,0.0,1.0,1.0,0.0,0.0,23.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,56.0,28.0,0.83,False,True
NCT00052442,2404.0,2404.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,5,1,1,0,69.0,10.0,1,1,1.0,1.0,0.0,0.0,0.0,72.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0,21.0,0.83,True,False
NCT01575860,2250.0,3865.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,1,0,21.0,10.0,1,0,0.0,1.0,1.0,0.0,0.0,8.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,28.0,360.0,0.83,True,False
NCT01831505,242.0,242.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,1,1,1,0,6.0,6.0,1,1,0.0,1.0,1.0,0.0,0.0,4.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,28.0,0.83,False,True
NCT00967044,1581.0,1581.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,1,0,16.0,25.0,2,0,0.0,1.0,0.0,0.0,0.0,31.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,,0.83,True,False
NCT00787527,1491.0,1491.0,"(1310.0, 8888.0]","(29.999, 1553.0]",0,1,1,1,1,1,0,21.0,28.0,5,0,0.0,1.0,0.0,0.0,0.0,14.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0,,0.83,True,False
NCT00003541,2952.0,2952.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,0,1,1,0,0.0,10.0,11,0,0.0,1.0,0.0,0.0,0.0,24.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.83,True,False
NCT01902225,1592.0,2230.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,3,1,1,2,0,22.0,28.0,2,0,0.0,2.0,1.0,0.0,0.0,24.0,False,1,0,0,0,0,0,0,0,0,0,0,1,0,730.0,730.0,0.83,False,True
NCT01538472,2983.0,2983.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,1,1,1,0,22.0,19.0,9,0,0.0,1.0,0.0,0.0,0.0,40.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,2920.0,,0.83,True,False
NCT00003356,1642.0,1642.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,1,0,1,1,0,14.0,10.0,2,0,0.0,1.0,0.0,0.0,0.0,58.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.83,True,False
NCT00779337,1187.0,1308.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,1,1,1,1,8.0,7.0,1,0,0.0,0.0,0.0,0.0,0.0,8.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,360.0,360.0,0.83,False,True
