protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,survival_5yr_relative,phase_PHASE1_PHASE2,phase_PHASE1
NCT03177460,2428,2428.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,6,2,1,1,0,18.0,24.0,3,0,1.0,1.0,0.0,0.0,0.0,33,False,1,0,0,0,0,0,0,0,0,0,0,0,1,126.0,126.0,0.175,False,True
NCT03031691,120,243.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,5,0,8.0,9.0,2,1,0.0,1.0,0.0,0.0,0.0,7,False,1,0,0,0,0,0,0,0,0,0,1,0,1,730.0,730.0,0.175,False,True
NCT03411980,250,369.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,2,3,1,2,0,9.0,7.0,1,1,1.0,1.0,0.0,0.0,0.0,26,True,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,42.0,0.68,False,True
NCT02133742,927,1751.0,"(-0.001, 1035.0]","(1232.0, 4453.0]",1,0,1,1,1,19,0,5.0,10.0,2,1,0.0,1.0,0.0,0.0,0.0,52,False,1,0,0,0,0,0,0,0,0,0,1,1,1,42.0,1552.0,0.175,False,True
NCT01983969,1476,1476.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,2,1,2,1,0,25.0,10.0,10,0,2.0,1.0,0.0,0.0,0.0,61,False,1,0,0,0,0,0,0,0,0,0,0,0,0,100.0,,0.83,True,False
NCT01354392,731,731.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,2,1,15.0,19.0,1,0,0.0,0.0,1.0,0.0,0.0,15,False,1,0,0,0,0,0,0,0,0,0,0,0,0,14.0,365.0,0.83,True,False
NCT01668849,3583,3592.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,2,2,1,1,0,8.0,8.0,2,0,1.0,0.0,1.0,1.0,0.0,60,False,1,0,0,0,0,0,0,0,0,0,0,0,0,180.0,30.0,0.99,False,True
NCT01221675,1766,1766.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,2,0,1,6,1,21.0,24.0,3,0,0.0,1.0,0.0,0.0,0.0,18,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.99,True,False
NCT01290471,731,731.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,2,3,1,4,0,13.0,26.0,1,1,0.0,1.0,0.0,0.0,0.0,36,False,1,0,0,0,0,0,0,0,0,0,0,0,1,180.0,720.0,0.68,False,True
NCT05868057,17,150.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,2,1,1,1,5.0,29.0,2,1,2.0,1.0,0.0,1.0,0.0,16,True,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,10.0,0.175,False,True
NCT01898078,232,1288.0,"(-0.001, 1035.0]","(1232.0, 4453.0]",1,0,2,2,1,0,0,9.0,16.0,1,1,2.0,1.0,0.0,1.0,0.0,26,False,1,0,0,0,0,0,0,0,0,0,0,0,1,3.0,225.0,0.83,False,True
NCT03333824,417,417.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,7,0,21.0,70.0,5,1,0.0,1.0,0.0,0.0,0.0,33,False,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0.68,False,True
NCT01677858,1479,2310.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,1,1,35,0,22.0,38.0,2,1,2.0,1.0,1.0,0.0,0.0,116,False,1,0,0,0,0,0,0,0,0,0,0,1,1,235.20000000000002,429.0,0.598,True,False
NCT01816035,914,1035.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,5,1,1,1,0,23.0,31.0,3,0,0.0,1.0,0.0,0.0,0.0,13,False,1,0,0,0,0,0,0,0,0,0,0,0,1,30.0,730.0,0.99,False,True
NCT01485861,1329,3885.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,6,1,59,2,7.0,12.0,6,1,1.0,1.0,0.0,1.0,2.0,298,False,1,0,0,0,0,0,0,0,0,0,1,0,1,1314.0,3248.5,0.175,True,False
