study_duration_days,study_eq_bins,study_eq_labels,num_oms,number_of_intervention_types,num_locations,number_of_conditions,allocation,masking,enroll_count,biological_intervention,procedure_intervention,drug_intervention,radiation_intervention,treatment_purpose,prevention_purpose,us_led,us_included,nci_sponsor,spacy_aes_outcome,spacy_osr_outcome,spacy_mtd_outcome,spacy_dor_outcome,spacy_dlt_outcome,spacy_cmax_outcome,spacy_aes_lead_outcome,spacy_dlt_lead_outcome,spacy_mtd_lead_outcome,spacy_tmax_outcome
945.0,Low,0,8,2,1,1,False,False,9,False,False,False,False,1,0,False,False,False,True,True,True,False,True,False,True,False,False,missing
2448.0,High,1,3,1,2,1,missing,False,36,False,False,False,False,1,0,False,False,False,False,True,False,False,False,False,False,False,False,missing
1431.0,High,1,9,4,0,1,missing,False,41,False,False,False,False,1,0,True,True,False,True,False,True,False,True,True,True,True,True,True
1104.0,Low,0,1,1,1,3,missing,False,99,False,False,False,False,1,0,False,False,False,True,False,False,False,False,False,True,False,False,missing
639.0,Low,0,5,5,4,1,False,False,18,False,False,False,False,1,0,False,False,False,True,True,True,False,True,False,True,False,False,missing
3343.0,High,1,4,2,1,1,missing,False,21,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,True,True,True,missing
2266.0,High,1,4,1,4,1,missing,False,38,False,False,False,False,1,0,False,False,False,True,False,True,False,True,False,True,False,False,missing
1906.0,High,1,2,1,1,1,missing,False,58,False,False,False,False,1,0,False,False,False,False,True,True,False,True,False,False,True,True,missing
945.0,Low,0,5,2,1,2,missing,False,14,False,False,False,False,0,0,False,False,False,True,False,False,False,False,False,False,False,False,missing
1848.0,High,1,4,4,3,1,missing,False,25,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
2310.0,High,1,6,1,10,1,missing,False,64,False,False,False,False,1,0,True,True,False,True,False,True,False,True,True,False,True,True,True
1067.0,Low,0,7,1,5,1,missing,False,20,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
578.0,Low,0,5,3,0,1,False,False,21,False,False,False,False,1,0,False,False,False,False,False,True,False,True,True,False,True,True,True
934.0,Low,0,5,2,2,2,missing,False,20,False,False,False,False,0,0,False,False,False,True,True,False,False,False,False,True,False,False,missing
347.0,Low,0,8,1,5,1,False,False,21,False,False,False,False,0,0,True,True,False,True,False,True,False,True,True,False,False,False,True
538.0,Low,0,22,2,5,1,False,False,24,False,False,False,False,1,0,True,True,False,True,False,True,False,True,False,True,True,True,missing
1123.0,Low,0,9,1,1,1,missing,False,94,False,False,False,False,1,0,False,False,False,False,True,True,False,True,True,False,True,True,True
2678.0,High,1,1,1,1,3,False,False,40,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,True,True,True,missing
976.0,Low,0,3,1,1,8,missing,False,92,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,False,True,True,True
660.0,Low,0,3,1,1,5,missing,False,81,False,False,False,False,0,1,True,True,False,False,True,False,False,False,True,False,False,False,True
1591.0,High,1,3,1,10,2,missing,False,18,False,False,False,False,1,0,False,True,False,False,True,True,False,True,True,False,True,True,True
2407.0,High,1,10,1,1,1,missing,False,27,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
1795.0,High,1,2,1,1,1,missing,False,38,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,False,True,True,True
1110.0,Low,0,4,1,4,1,missing,False,15,False,False,False,False,1,0,False,False,False,False,False,True,False,True,True,False,True,True,True
596.0,Low,0,3,1,1,1,missing,False,6,False,False,False,False,1,0,False,False,False,True,True,False,False,False,True,True,False,False,True
1036.0,Low,0,2,2,1,2,missing,False,56,False,False,False,False,0,1,False,False,False,True,False,True,False,True,False,True,True,True,missing
2045.0,High,1,8,4,41,1,False,False,141,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
526.0,Low,0,9,1,1,1,missing,False,6,False,False,False,False,1,0,False,False,False,True,True,False,False,True,False,False,True,False,missing
1217.0,Low,0,4,2,5,5,False,False,36,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
1723.0,High,1,4,4,2,9,missing,False,18,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,False,True,True,True
1196.0,Low,0,3,2,1,1,False,False,30,False,False,False,False,1,0,False,False,False,False,False,False,False,True,False,False,True,False,missing
1605.0,High,1,9,2,33,1,missing,False,36,False,False,False,False,1,0,False,True,False,True,True,True,False,True,True,False,True,False,True
